parameter_name,Lens Opacity
gene_accession_id,MGI:1332236
pvalue,0.6635337
mouse_life_stage,Early adult
parameter_id,UCDLA_EYE_017_001
gene_symbol,Cds2
mouse_strain,C57BL
analysis_id,erm0t644fg42021
