parameter_name,Latency to center entry
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
analysis_id,ui9zca6ltc66t0q
gene_symbol,Frmpd1
parameter_id,IMPC_OFD_018_001
mouse_strain,C57BL
pvalue,0.2029594
