analysis_id,3vawmzk6ao71d7p
gene_accession_id,MGI:1914556
parameter_name,Facial Morphology
pvalue,0.7040539
parameter_id,IMPC_GEP_017_001
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
mouse_strain,C57BL
