parameter_name,Skull shape
parameter_id,IMPC_XRY_001_001
analysis_id,01g6f15272eema8
pvalue,0.8889243
mouse_strain,C55BL
gene_symbol,Lcn2
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
