analysis_id,f2fp97442n9v1th
parameter_name,Neutrophil differential count
parameter_id,IMPC_HEM_029_001
gene_symbol,Kcng1
pvalue,0.4454751
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
mouse_strain,C57BL
