analysis_id,9f36z4p59k89d67
parameter_id,IMPC_EYE_092_001
mouse_strain,129SV
gene_symbol,Mms22l
pvalue,0.4666526
gene_accession_id,MGI:2684980
parameter_name,Retina (combined)
mouse_life_stage,Early adult
