parameter_name,HRV
pvalue,0.9707707
parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:2670995
gene_symbol,Trp53i11
mouse_strain,C57BL
analysis_id,73ee4usq7227rjh
mouse_life_stage,Early adult
