parameter_name,QT
parameter_id,IMPC_ECG_028_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,q0e0ms9x109fku4
pvalue,0.1069058
gene_symbol,Exd1
gene_accession_id,MGI:3045306
