analysis_id,579qownarlb3307
pvalue,0.53734
parameter_id,IMPC_CSD_008_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Hspa5
parameter_name,Coat - color pattern - back
gene_accession_id,MGI:95835
