mouse_strain,C3H
parameter_name,Mean-cell-volume
pvalue,0.05005364
parameter_id,M-G-P_016_001_005
gene_symbol,Mecom
gene_accession_id,MGI:95457
analysis_id,s188asd6pk5mhn5
mouse_life_stage,Early adult
