parameter_name,Tibia length
mouse_life_stage,Early adult
analysis_id,3v9o31468u566t5
pvalue,0.8260143
gene_accession_id,MGI:1917810
gene_symbol,Wars2
mouse_strain,C57BL
parameter_id,IMPC_XRY_033_001
