gene_symbol,Kif24
mouse_strain,C57BL
gene_accession_id,MGI:1918345
parameter_id,IMPC_IMM_005_002
pvalue,0.9393035
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
analysis_id,47n9390529i476a
mouse_life_stage,Early adult
