analysis_id,2375975i6luwr35
gene_symbol,Ola1
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
parameter_id,IMPC_GRS_011_001
gene_accession_id,MGI:1914309
pvalue,0.7615174
