analysis_id,l8ev109f20up485
parameter_id,IMPC_EYE_026_001
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
parameter_name,Retinal Blood Vessels Pattern
gene_symbol,Mapkap1
pvalue,0.1306157
mouse_strain,C57BL
