analysis_id,3mnbpg5089zx6wq
parameter_name,Heart weight
gene_accession_id,MGI:108072
gene_symbol,Traf6
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.600068
parameter_id,HMGULA_HWT_008_001
