analysis_id,3yyzsx6p35997r0
pvalue,0.762722
mouse_strain,C57BL
parameter_name,Periphery resting time
gene_accession_id,MGI:1924315
parameter_id,HRWLLA_OFD_011_001
mouse_life_stage,E9.5
gene_symbol,Ints7
