gene_symbol,Kif24
analysis_id,y153u824y2bqjr5
gene_accession_id,MGI:1918345
parameter_id,IMPC_HEM_008_001
pvalue,0.2621576
mouse_life_stage,Early adult
parameter_name,Platelet count
mouse_strain,C57BL
