gene_symbol,Tubb4b
analysis_id,kj0esv094qm558w
pvalue,0.0808112
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_076_001
gene_accession_id,MGI:1915472
parameter_name,Cleft palate
