parameter_name,Centre distance travelled
pvalue,0.3890785
parameter_id,ESLIM_007_001_010
gene_symbol,Frmpd1
mouse_life_stage,Late adult
analysis_id,g59k81oin3c7jnk
mouse_strain,C57BL
gene_accession_id,MGI:2446274
