analysis_id,8b8437nwttx07bi
parameter_name,CD11b-low cDC - % of CD45+
gene_symbol,Maco1
mouse_strain,C57BL
pvalue,0.4713888
mouse_life_stage,Early adult
parameter_id,MGP_IMM_130_001
gene_accession_id,MGI:1913396
