gene_symbol,Ilkap
gene_accession_id,MGI:1914694
parameter_id,MGP_IMM_089_001
analysis_id,a69qi8g24f4kq9z
mouse_strain,C57BL
pvalue,0.3943383
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of CD45+
