gene_symbol,Dmap1
analysis_id,815uud7ppzf8678
parameter_id,IMPC_HEM_019_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Mean platelet volume
gene_accession_id,MGI:1913483
pvalue,0.7189526
