analysis_id,wi4m7iao5350h68
parameter_id,HRWLLA_FEA_015_001
parameter_name,Cue Baseline % Freezing Time
mouse_life_stage,E9.5
gene_symbol,CDIN1
gene_accession_id,MGI:3026886
mouse_strain,C57BL
pvalue,0.05827764
