analysis_id,2vpyt279wq29806
mouse_life_stage,Early adult
parameter_name,Neutrophil percentage
pvalue,0.5540355
gene_accession_id,MGI:1332236
parameter_id,MGP_PBI_019_001
gene_symbol,Cds2
mouse_strain,129SV
