parameter_id,HRWLLA_CSD_008_001
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
analysis_id,59861t0bz28xg34
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_life_stage,E12.5
pvalue,0.9791618
