parameter_id,JAX_LDT_002_001
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:104848
pvalue,0.4030801
analysis_id,p54m935eqql2ss4
gene_symbol,Inpp1
parameter_name,Light side time spent
