gene_symbol,Bmi1
parameter_name,CD4+ T helper cells - % of CD45+
parameter_id,MGP_IMM_072_001
analysis_id,6wc6krrfp3954ly
pvalue,0.2877781
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
mouse_strain,C57BL
