analysis_id,3012ogp17w20f6b
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Nemp2
pvalue,0.8307937
parameter_id,IMPC_OWT_004_001
gene_accession_id,MGI:2444113
parameter_name,Right kidney weight
