analysis_id,ib60phke5zuf806
mouse_life_stage,Early adult
pvalue,0.7383467
parameter_id,JAX_ROT_002_001
mouse_strain,C57BL
gene_accession_id,MGI:2444554
parameter_name,Average duration
gene_symbol,Mapkap1
