parameter_name,Eosinophil differential count
gene_symbol,Sema6c
analysis_id,355c2474g14fy6y
mouse_strain,C57BL
parameter_id,IMPC_HEM_035_001
pvalue,0.9178016
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
