gene_symbol,Rgs20
parameter_id,MGP_CSD_067_001
pvalue,0.8068762
gene_accession_id,MGI:1929866
parameter_name,Snout size
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,j92375iq4ot94d4
