analysis_id,v29s6576ys430un
gene_accession_id,MGI:97054
mouse_strain,C57BL
parameter_name,Pale yolk sac
gene_symbol,Mov10
mouse_life_stage,Early adult
pvalue,0.7683395
parameter_id,IMPC_GEL_017_002
