gene_symbol,Col11a1
analysis_id,y979qt5023tn7gf
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3715209
parameter_id,MGP_IMM_081_001
gene_accession_id,MGI:88446
parameter_name,Effector CD8+ T cells - % of CD45+
