gene_symbol,F2
parameter_id,IMPC_EYE_056_001
pvalue,0.5373532
analysis_id,01a92297gr83309
mouse_strain,C57BL
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
parameter_name,Mean left eye lens density
