parameter_name,Centre permanence time
gene_accession_id,MGI:2444554
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,ESLIM_007_001_012
pvalue,0.30545
analysis_id,5tp5ro9x142j19u
gene_symbol,Mapkap1
