gene_symbol,Rufy4
analysis_id,h37y9t476ttj1rf
mouse_strain,C57BL
parameter_id,IMPC_EYE_026_001
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
pvalue,0.553412
parameter_name,Retinal Blood Vessels Pattern
