gene_symbol,Ifi44
gene_accession_id,MGI:2443016
mouse_strain,C57BL
analysis_id,ri441qvqdrmb92c
mouse_life_stage,Early adult
parameter_name,Total cholesterol
parameter_id,JAXLA_CBC_015_001
pvalue,0.8699665
