parameter_name,Body Length
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,M-G-P_005_001_006
gene_accession_id,MGI:109356
pvalue,0.5297818
gene_symbol,Snap23
analysis_id,t02798fj4n4lszp
