parameter_id,IMPC_FEA_107_001
mouse_strain,C57BL
pvalue,0.8320189
gene_symbol,Ntmt2
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
analysis_id,zydo8xkmo7g73i9
