parameter_name,Magnesium
gene_accession_id,MGI:108072
Mouse_life_stage,Early adult
Parameter_id,M-G-P_025_001_030
pvalue,0.2663271
analysis_id,49ssf63punrjn12
Gene_symbol,Traf6
Mouse_strain,C57BL
