gene_symbol,Rap2b
pvalue,0.1070386
parameter_id,IMPC_ABR_008_001
parameter_name,18kHz-evoked ABR Threshold
analysis_id,9s8l158yr187hse
mouse_strain,C57BL
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
