parameter_id,M-G-P_009_001_003
mouse_strain,C57BL
analysis_id,10net618dicg4wc
parameter_name,Body weight
gene_accession_id,MGI:88174
gene_symbol,Bmi1
pvalue,0.8919214
mouse_life_stage,Early adult
