analysis_id,49af1a075wp9w25
pvalue,0.6792977
gene_symbol,Rab3gap2
parameter_id,IMPC_GRS_009_001
mouse_strain,C57BL
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength measurement mean
