parameter_name,NK cell number
mouse_life_stage,Early adult
pvalue,0.8061416
mouse_strain,C57BL
parameter_id,MGP_PBI_027_001
analysis_id,a8362br1a9718t6
gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
