parameter_name,Lean mass
mouse_strain,C57BL
gene_symbol,Ap5s1
pvalue,0.2733698
parameter_id,IMPC_DXA_003_001
mouse_life_stage,Early adult
analysis_id,z6591o43r982u2j
gene_accession_id,MGI:1916846
