gene_symbol,Hrnr
parameter_id,MGP_IMM_130_001
analysis_id,072qcu214c8994n
parameter_name,CD11b-low cDC - % of CD45+
gene_accession_id,MGI:3046938
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2990178
