gene_symbol,Sass6
parameter_id,MGP_IMM_041_001
mouse_life_stage,E12.5
analysis_id,2214gnvp62t02ja
mouse_strain,C57BL
gene_accession_id,MGI:1920026
pvalue,0.05893607
parameter_name,Total B cells - % of CD45+
