Analysis_id,qr47fp5io063hca
Parameter_id,MGP_IMM_015_001
Parameter_name,Resting CD8+ T cells - % of CD8+
Mouse_strain,C57BL
Pvalue,0.8325001
Gene_accession_id,MGI:1929242
mouse_life_stage,Early adult
Gene_symbol,Ivd
