parameter_name,Fat mass
gene_accession_id,MGI:1918764
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4636412
parameter_id,IMPC_DXA_002_001
gene_symbol,Sfpq
analysis_id,6697f1hie1r87x5
