parameter_name,Clavicle
gene_symbol,Nanp
gene_accession_id,MGI:1914561
parameter_id,IMPC_XRY_007_001
mouse_strain,C57BL
pvalue,0.6541075
mouse_life_stage,E18.5
analysis_id,vn35gso82793be3
