analysis_id,8m6413let10dxt2
parameter_name,Eye
gene_accession_id,MGI:1924054
pvalue,0.3140315
gene_symbol,Kdm4c
parameter_id,IMPC_EYE_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
