gene_symbol,Gja10
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1339969
parameter_name,Blood Vessel Morphology
analysis_id,c5m67gm0186tym9
pvalue,0.7807327
parameter_id,IMPC_GEO_011_001
