analysis_id,87po9gi1u6987he
mouse_strain,C55BL
parameter_id,MGP_IMM_071_001
parameter_name,Total CD4+ T cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1920344
pvalue,0.7833698
gene_symbol,Sgip1
