parameter_name,Periphery average speed
gene_symbol,Rab22a
mouse_life_stage,Early adult
pvalue,0.2457854
gene_accession_id,MGI:105072
parameter_id,ESLIM_007_001_009
mouse_strain,C57BL
analysis_id,580655p7rr8ah11
