gene_symbol,Bmp7
parameter_name,Periphery distance travelled
gene_accession_id,MGI:103302
parameter_id,ESLIM_007_001_006
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,2ng229woqzzsh21
pvalue,0.2780024
