analysis_id,96kfbu1o8q06q20
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
mouse_strain,C57BL
pvalue,0.6247028
parameter_id,ESLIM_001_001_117
parameter_name,eye size
mouse_life_stage,E12.5
