parameter_name,HR
mouse_strain,C57BL
analysis_id,0h19b8pxc6x5q4n
parameter_id,IMPC_ECG_002_001
gene_symbol,Snap23
pvalue,0.8878887
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
