parameter_name,Distance travelled - total
pvalue,0.8173369
mouse_life_stage,Early adult
gene_symbol,Cntfr
analysis_id,qivbo5j33px0368
parameter_id,JAXLA_OFD_020_001
mouse_strain,C57BL
gene_accession_id,MGI:99605
