analysis_id,58ygaj90h5wfnzy
parameter_id,MGP_MLN_014_001
mouse_life_stage,E15.5
gene_accession_id,MGI:99501
parameter_name,Resting CD8+ T cells - % of CD8+
pvalue,0.6404489
gene_symbol,Fgb
mouse_strain,C57BL
