gene_symbol,Pglyrp3
parameter_name,Mean corpuscular hemoglobin
parameter_id,IMPC_HEM_006_001
analysis_id,c039m644r7m3e85
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5269651
gene_accession_id,MGI:2685266
