gene_symbol,Opn3
parameter_id,MGP_PBI_035_001
pvalue,0.7061667
parameter_name,IgD+ mature B cell number
mouse_strain,C57BL
analysis_id,96yy1an6b133ky1
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
