gene_symbol,Kdm4c
analysis_id,q3x539g6ij050uf
pvalue,0.5769035
mouse_life_stage,Early adult
parameter_name,Number of centre entries
parameter_id,ESLIM_007_001_015
gene_accession_id,MGI:1924054
mouse_strain,C57BL
