analysis_id,vsi094h28967197
parameter_name,Prepulse inhibition - PP3
mouse_life_stage,E9.5
parameter_id,ESLIM_011_001_703
mouse_strain,C57BL
gene_accession_id,MGI:1924315
pvalue,0.5080251
gene_symbol,Ints7
