parameter_name,Center permanence time
mouse_strain,C57BL
analysis_id,3034o82v269ud39
pvalue,0.1134572
gene_symbol,Eprs1
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
parameter_id,JAX_OFD_016_001
